Vocabulary,Total Counts,02036_01.pdf,21019.pdf,96001_01.pdf
attendance,1,0,0,1
attitudes,1,0,1,0
attorney,1,0,0,1
audits,1,1,0,0
authority,36,34,2,0
authorization,2,2,0,0
authorizations,5,5,0,0
authorized,7,7,0,0
authorizing,1,0,1,0
availability,1,0,0,1
available,5,5,0,0
b,195,152,24,19
b.,3,3,0,0
back,1,1,0,0
barrier,3,0,3,0
barriers,10,0,10,0
base,1,1,0,0
based,4,3,1,0
basis,1,0,1,0
be,92,67,10,15
because,1,1,0,0
become,2,2,0,0
becomes,3,3,0,0
bedrock,1,1,0,0
been,17,17,0,0
before,23,16,1,6
began,1,1,0,0
begins,1,1,0,0
behaviour,2,0,0,2
being,5,4,0,1
beset,3,0,0,3
best,1,1,0,0
between,2,2,0,0
binding,3,3,0,0
binds,1,1,0,0
block,1,0,0,1
board,27,26,1,0
bodies,3,2,1,0
body,13,12,1,0
bonding,2,2,0,0
both,5,3,0,2
boundaries,17,15,0,2
boundary,2,1,0,1
bounds,1,1,0,0
breaches,1,0,0,1
british,29,14,8,7
brought,2,1,0,1
build,1,1,0,0
building,5,3,0,2
buildings,1,1,0,0
built,1,0,1,0
bulkley,1,1,0,0
business,3,3,0,0
but,7,7,0,0
by,134,100,19,15
bylaw,10,10,0,0
bylaws,7,7,0,0
c,102,79,11,12
c.,6,6,0,0
calculating,2,1,1,0
can,6,3,1,2
canada,15,12,2,1
cancel,1,1,0,0
cancellation,8,8,0,0
cancelled,1,1,0,0
capital,1,1,0,0
care,2,0,0,2
cariboo,1,1,0,0
carried,2,2,0,0
carries,3,3,0,0
carry,4,3,1,0
carrying,4,2,2,0
case,7,7,0,0
cause,3,3,0,0
caused,2,1,1,0
cease,3,3,0,0
ceases,3,3,0,0
central,3,3,0,0
certain,1,1,0,0
certainty,4,2,2,0
certificate,2,2,0,0
certificates,2,2,0,0
certification,2,0,0,2
chair,24,24,0,0
chairs,2,2,0,0
changed,1,1,0,0
changes,9,3,4,2
chapter,3,1,1,1
character,1,0,0,1
charge,4,3,1,0
charlotte,1,1,0,0
chief,47,47,0,0
circumstances,7,5,1,1
claims,2,2,0,0
class,2,0,1,1
classes,5,4,1,0
clause,1,1,0,0
clayoquot,1,1,0,0
clinic,1,0,0,1
close,1,0,0,1
clustering,1,1,0,0
coast,5,5,0,0
code,2,0,1,1
cognitive,1,0,1,0
collaboration,2,0,2,0
collected,1,1,0,0
collects,1,1,0,0
college,1,0,0,1
columbia,33,18,8,7
column,3,0,3,0
come,1,0,1,0
comes,7,7,0,0
coming,1,1,0,0
commenced,2,2,0,0
commencement,4,2,2,0
commencing,1,1,0,0
comment,1,1,0,0
comments,7,4,3,0
commission,195,193,0,2
commissioner,1,1,0,0
commits,5,4,0,1
committed,2,0,0,2
committee,53,20,33,0
committees,5,0,5,0
committing,1,0,0,1
communicate,1,0,0,1
communication,1,0,1,0
communications,1,0,1,0
community,3,3,0,0
comox,1,1,0,0
compel,1,1,0,0
compensation,2,2,0,0
complete,1,1,0,0
completed,1,1,0,0
completion,8,8,0,0
compliance,4,4,0,0
complied,3,3,0,0
comply,13,10,0,3
complying,2,2,0,0
comprising,1,1,0,0
concerning,1,0,0,1
conclusion,1,1,0,0
condition,5,2,0,3
conditions,18,13,1,4
conduct,3,2,0,1
conducted,2,1,0,1
conducting,3,3,0,0
conducts,1,1,0,0
confer,2,0,1,1
conferring,2,2,0,0
confidence,1,1,0,0
confirm,2,2,0,0
confirming,1,1,0,0
conflict,3,3,0,0
conjunction,2,2,0,0
consecutive,1,0,1,0
consent,4,2,0,2
consequences,2,1,1,0
consequential,1,1,0,0
conservation,1,1,0,0
consider,9,4,5,0
consideration,2,2,0,0
considered,9,8,1,0
considers,16,13,1,2
consist,1,0,1,0
consisting,3,3,0,0
consists,7,7,0,0
consolidated,2,2,0,0
constable,6,0,0,6
constitute,1,1,0,0
constitution,3,2,1,0
constitutional,1,1,0,0
construct,6,6,0,0
constructed,1,1,0,0
construction,5,5,0,0
consult,4,0,4,0
consultant,1,1,0,0
consultants,4,1,3,0
consultation,1,1,0,0
consultations,2,0,2,0
consulting,1,1,0,0
containing,1,1,0,0
contemplated,2,1,1,0
contemplates,2,2,0,0
content,1,1,0,0
contents,3,1,1,1
context,1,1,0,0
continue,1,1,0,0
continued,4,2,1,1
continues,1,1,0,0
continuing,2,0,1,1
continuity,1,1,0,0
continuous,1,1,0,0
continuously,1,0,0,1
contrary,1,0,0,1
contravene,2,2,0,0
contravened,1,1,0,0
contravenes,4,3,0,1
contravening,3,1,0,2
contravention,13,9,0,4
contraventions,2,0,2,0
convention,1,0,1,0
convicted,3,0,0,3
conviction,6,3,0,3
copies,1,1,0,0
copy,2,1,0,1
copyright,6,2,2,2
corporate,2,2,0,0
corporation,5,5,0,0
corporations,2,2,0,0
correct,1,0,0,1
costs,1,1,0,0
could,1,1,0,0
council,44,35,5,4
course,2,1,0,1
court,7,4,0,3
courtesy,1,0,0,1
covenant,3,3,0,0
covenants,2,2,0,0
covered,2,1,1,0
cowichan,1,1,0,0
created,1,1,0,0
creating,2,2,0,0
criteria,9,9,0,0
cross,1,0,0,1
crown,3,3,0,0
cultural,2,2,0,0
cumulative,2,2,0,0
current,4,2,1,1
custody,1,0,0,1
d,42,29,8,5
d.,1,1,0,0
daily,1,0,1,0
damage,1,1,0,0
damaged,1,1,0,0
damages,2,0,0,2
date,20,18,2,0
dates,3,3,0,0
days,3,3,0,0
deaf,1,0,1,0
debts,1,1,0,0
december,4,4,0,0
decide,5,5,0,0
deciding,2,2,0,0
decision,79,79,0,0
decisions,6,6,0,0
declaration,2,0,2,0
declare,1,1,0,0
deemed,2,1,0,1
deeming,1,1,0,0
defence,1,0,0,1
defendant,9,1,0,8
defined,8,6,0,2
defining,1,1,0,0
definition,6,6,0,0
definitions,6,2,2,2
delegate,4,2,1,1
delegated,3,3,0,0
delegation,2,2,0,0
deliver,5,5,0,0
delivery,1,0,1,0
deposit,1,1,0,0
deposited,2,0,0,2
descending,1,1,0,0
described,22,20,2,0
description,3,3,0,0
design,4,2,2,0
designate,3,3,0,0
designated,11,8,1,2
designating,1,1,0,0
designation,6,6,0,0
designed,3,3,0,0
designer,1,1,0,0
despite,6,5,0,1
destroyed,1,1,0,0
detained,1,0,0,1
determination,14,12,2,0
determinations,2,2,0,0
determine,5,5,0,0
determines,3,3,0,0
determining,3,3,0,0
develop,4,0,4,0
developed,1,0,1,0
developing,6,0,6,0
development,9,2,7,0
different,12,7,2,3
dignity,1,0,0,1
dimensions,1,0,0,1
direct,1,1,0,0
directed,2,0,0,2
directing,4,4,0,0
direction,3,1,2,0
directions,2,1,1,0
directives,1,0,1,0
directly,1,1,0,0
director,4,1,3,0
directors,2,2,0,0
directs,3,2,1,0
disabilities,7,0,7,0
disability,1,0,1,0
disapproval,2,0,0,2
disclosure,2,2,0,0
discontinued,1,1,0,0
discretion,5,4,1,0
discretionary,1,0,0,1
discrimination,1,0,1,0
discussion,2,2,0,0
dismissal,1,1,0,0
dispute,1,1,0,0
dissuading,4,0,0,4
distance,2,0,0,2
district,39,39,0,0
districts,4,4,0,0
diversity,4,0,4,0
division,9,0,9,0
do,24,19,1,4
doctor,14,0,0,14
doctors,4,0,0,4
documents,1,1,0,0
does,26,16,6,4
done,1,1,0,0
doorway,1,0,0,1
double,1,1,0,0
due,5,5,0,0
during,2,2,0,0
duties,9,9,0,0
duty,2,2,0,0
dwelling,1,1,0,0
e,21,14,5,2
each,10,8,2,0
earlier,3,3,0,0
east,5,5,0,0
economic,2,2,0,0
edges,1,1,0,0
education,1,0,1,0
effect,14,14,0,0
effective,5,5,0,0
effectiveness,1,0,1,0
effects,1,1,0,0
either,2,2,0,0
electoral,1,1,0,0
electronic,1,0,0,1
elevator,1,0,0,1
elsewhere,1,0,1,0
emotional,1,0,0,1
employee,3,3,0,0
employees,2,2,0,0
employment,1,0,1,0
enable,2,2,0,0
enabling,1,1,0,0
enacted,4,2,2,0
enactment,18,18,0,0
enacts,3,2,0,1
encourage,2,2,0,0
end,1,1,0,0
endorse,1,1,0,0
endorsement,1,1,0,0
enforcement,4,4,0,0
engage,4,1,1,2
engaged,1,0,1,0
engaging,1,1,0,0
engineer,1,1,0,0
enhancing,1,1,0,0
ensure,1,1,0,0
ensuring,1,1,0,0
enter,6,5,0,1
entered,8,8,0,0
entering,1,0,0,1
enters,2,2,0,0
entire,2,2,0,0
entitled,1,0,0,1
entry,3,3,0,0
environment,2,1,1,0
environmental,3,3,0,0
environments,1,0,1,0
episodic,1,0,1,0
equal,1,0,1,0
equally,1,0,1,0
establish,8,4,3,1
established,28,17,1,10
establishes,2,1,0,1
establishing,3,3,0,0
establishment,3,2,1,0
etc.,1,0,1,0
evaluate,1,1,0,0
event,1,1,0,0
every,5,1,2,2
evidence,8,5,0,3
evidentiary,1,0,1,0
examination,2,1,0,1
examinations,1,1,0,0
exceeding,1,1,0,0
except,6,6,0,0
exception,1,1,0,0
exceptions,3,3,0,0
exclude,1,1,0,0
excluded,7,7,0,0
exclusion,16,16,0,0
exclusive,10,5,0,5
excuse,2,2,0,0
executive,63,63,0,0
exempted,1,1,0,0
exempting,2,2,0,0
exemption,1,1,0,0
exercise,7,7,0,0
exercised,1,1,0,0
exercises,2,2,0,0
exercising,4,4,0,0
existed,4,4,0,0
exists,3,3,0,0
expenses,1,0,1,0
expertise,1,1,0,0
expires,4,4,0,0
expiry,1,1,0,0
explanatory,1,1,0,0
expression,1,1,0,0
extends,4,1,0,3
extent,5,4,1,0
exterior,2,2,0,0
f,16,11,5,0
facilitate,3,1,0,2
facilitated,2,2,0,0
facilitates,1,0,0,1
facilitating,3,0,0,3
facilities,4,1,0,3
facility,7,0,0,7
facsimile,1,0,0,1
fact,1,1,0,0
failing,2,1,1,0
fails,5,5,0,0
false,2,2,0,0
farm,20,20,0,0
farming,2,2,0,0
feature,3,0,0,3
fee,22,22,0,0
feedback,4,0,4,0
fees,14,14,0,0
fence,1,0,0,1
filed,1,1,0,0
filing,1,1,0,0
fill,20,20,0,0
film,1,0,0,1
final,4,4,0,0
finalized,1,1,0,0
finance,1,1,0,0
financial,7,7,0,0
findings,3,2,1,0
fine,6,3,0,3
fining,1,0,0,1
first,96,94,1,1
fiscal,4,1,3,0
floor,3,3,0,0
follow,1,0,0,1
followed,1,1,0,0
following,57,46,7,4
follows,15,12,2,1
for,177,131,19,27
force,20,14,4,2
form,9,7,0,2
format,1,0,1,0
formats,5,0,5,0
former,3,3,0,0
forms,2,1,1,0
fort,1,1,0,0
forward,1,1,0,0
forwarded,1,1,0,0
forwards,1,1,0,0
foundation,2,2,0,0
fraser,2,2,0,0
freedom,1,1,0,0
from,33,23,2,8
fulfill,2,2,0,0
full,1,0,1,0
fully,4,3,1,0
functions,1,0,1,0
fund,5,5,0,0
further,4,4,0,0
future,1,1,0,0
g,8,6,2,0
gave,1,1,0,0
general,10,5,4,1
generally,2,2,0,0
geographic,6,6,0,0
george,1,1,0,0
give,9,9,0,0
given,6,4,2,0
giving,6,6,0,0
good,2,0,0,2
governance,3,3,0,0
governing,3,3,0,0
government,122,118,4,0
governments,1,1,0,0
governor,47,35,7,5
grant,6,5,0,1
granted,12,12,0,0
granting,5,5,0,0
grants,3,0,3,0
graphic,4,0,0,4
greater,2,2,0,0
grounds,2,1,0,1
groups,1,0,1,0
growth,1,1,0,0
h,5,3,2,0
had,1,1,0,0
haida,1,1,0,0
half,1,0,1,0
hallway,1,0,0,1
harassment,2,0,0,2
hardship,2,2,0,0
has,46,38,2,6
have,11,10,1,0
health,3,0,1,2
hear,2,2,0,0
heard,1,0,0,1
hearing,15,15,0,0
hearings,5,5,0,0
held,5,5,0,0
her,1,0,0,1
heritage,2,2,0,0
hinders,2,1,1,0
history,3,1,1,1
hold,1,1,0,0
holding,2,2,0,0
home,1,0,0,1
hospital,1,0,0,1
hours,1,1,0,0
house,1,1,0,0
how,2,0,2,0
human,2,1,0,1
i,53,41,10,2
identification,1,0,1,0
identify,2,0,2,0
if,101,88,4,9
ii,58,47,9,2
iii,21,18,2,1
immediately,2,2,0,0
immunities,1,1,0,0
impair,1,1,0,0
impairment,4,0,4,0
impairs,1,1,0,0
impede,1,1,0,0
impedes,1,1,0,0
implement,1,0,1,0
implication,1,1,0,0
importance,4,4,0,0
important,1,1,0,0
importune,1,0,0,1
impose,2,2,0,0
imposed,2,1,1,0
imposes,2,2,0,0
imposing,2,1,1,0
imprisonment,3,1,0,2
in,382,282,51,49
inability,1,0,1,0
include,10,6,0,4
included,3,3,0,0
includes,10,3,1,6
including,16,6,4,6
inclusion,11,9,2,0
inclusive,1,1,0,0
inconsistency,2,2,0,0
inconsistent,1,1,0,0
incorrect,1,1,0,0
increase,1,1,0,0
incurred,2,1,1,0
indefeasible,2,2,0,0
independent,2,0,2,0
indian,1,1,0,0
indigenous,9,0,9,0
individual,1,0,1,0
individuals,8,0,8,0
industry,1,1,0,0
inform,1,0,0,1
information,20,17,2,1
informing,1,0,0,1
initial,1,1,0,0
initiate,1,0,1,0
initiative,6,6,0,0
injunction,3,0,0,3
injuriously,1,1,0,0
inquire,1,1,0,0
inquiring,1,1,0,0
inquiry,2,2,0,0
inspected,1,1,0,0
inspection,3,3,0,0
inspections,3,3,0,0
insufficient,1,1,0,0
integrity,1,1,0,0
intellectual,1,0,1,0
intent,4,4,0,0
intention,1,1,0,0
intentionally,3,3,0,0
intentions,1,1,0,0
interacting,2,0,2,0
interaction,1,0,1,0
interest,4,4,0,0
interests,1,1,0,0
interfere,2,0,0,2
interference,2,0,0,2
interferes,2,2,0,0
interior,3,3,0,0
international,1,0,1,0
interpretation,8,4,3,1
interruption,1,1,0,0
intersecting,1,0,1,0
intersection,3,3,0,0
intimidate,2,0,0,2
into,27,25,1,1
introduced,1,0,0,1
invalidated,1,1,0,0
is,179,133,12,34
island,3,3,0,0
islands,3,3,0,0
issue,2,2,0,0
issued,3,3,0,0
issues,2,0,0,2
issuing,1,1,0,0
it,17,13,2,2
item,1,0,1,0
its,29,23,6,0
iv,6,4,2,0
ix,1,1,0,0
j,2,1,1,0
january,7,5,1,1
judicial,1,1,0,0
june,1,0,1,0
jurisdiction,13,12,1,0
jurisdictions,1,0,1,0
justice,14,0,0,14
keep,2,0,0,2
kept,1,0,0,1
king,6,2,2,2
kitimat,1,1,0,0
knew,1,0,0,1
known,2,0,0,2
kootenay,6,6,0,0
labour,2,1,0,1
land,213,199,0,14
lands,42,42,0,0
landscaping,1,1,0,0
language,1,0,1,0
languages,5,0,5,0
latitude,9,9,0,0
law,16,15,1,0
lawful,4,3,0,1
lawfully,1,1,0,0
laws,4,1,3,0
lay,1,0,1,0
lead,1,1,0,0
lease,2,2,0,0
leased,1,1,0,0
least,9,3,6,0
leave,1,0,0,1
legislative,12,6,3,3
less,4,3,0,1
levied,3,3,0,0
levy,1,1,0,0
levying,2,2,0,0
liabilities,1,1,0,0
liable,8,5,0,3
licence,3,1,1,1
lieutenant,48,35,7,6
lillooet,3,3,0,0
limit,3,2,1,0
limitation,6,1,3,2
limitations,1,1,0,0
limited,3,2,1,0
limiting,10,4,5,1
limits,12,11,1,0
line,2,2,0,0
local,48,48,0,0
located,11,2,0,9
location,4,1,0,3
long,1,1,0,0
longer,1,1,0,0
longitude,13,13,0,0
loss,3,1,0,2
lot,4,0,0,4
m,4,1,0,3
m.,1,0,0,1
made,54,49,0,5
maintenance,2,2,0,0
majesty,1,0,0,1
majority,1,1,0,0
make,46,34,7,5
maker,8,8,0,0
makes,7,5,0,2
making,17,13,1,3
management,2,2,0,0
mandated,1,1,0,0
manner,17,15,1,1
mantle,1,1,0,0
march,2,1,1,0
marker,1,0,0,1
material,2,2,0,0
materials,2,2,0,0
matter,29,26,2,1
matters,11,9,2,0
maximum,3,1,1,1
may,144,117,13,14
meaning,4,2,2,0
means,72,51,6,15
measurement,1,0,0,1
medical,1,0,0,1
meet,4,3,0,1
meeting,1,1,0,0
meetings,1,1,0,0
meets,1,1,0,0
member,14,13,0,1
members,22,12,10,0
mental,1,0,1,0
merely,1,1,0,0
merit,1,1,0,0
metes,1,1,0,0
method,1,1,0,0
methods,1,1,0,0
metro,1,1,0,0
might,2,0,2,0
million,1,1,0,0
mineral,1,1,0,0
minerals,1,1,0,0
minimum,2,1,1,0
minister,26,5,21,0
ministries,1,0,1,0
misfeasance,1,1,0,0
misleads,1,1,0,0
mistake,1,1,0,0
mitigating,1,1,0,0
monetary,5,0,5,0
money,1,1,0,0
months,3,2,0,1
more,21,15,2,4
mount,1,1,0,0
move,1,1,0,0
municipal,4,1,0,3
municipalities,1,1,0,0
municipality,7,7,0,0
mushrooms,1,1,0,0
must,102,73,21,8
nanaimo,1,1,0,0
nation,85,85,0,0
national,1,0,1,0
nations,3,1,2,0
natural,1,0,0,1
nature,1,0,0,1
near,1,0,0,1
necessarily,1,0,1,0
necessary,6,5,1,0
nechako,1,1,0,0
negotiated,1,1,0,0
negotiations,8,8,0,0
neither,2,2,0,0
net,1,1,0,0
new,4,4,0,0
nicola,1,1,0,0
no,17,12,1,4
nominal,1,1,0,0
non,1,1,0,0
non-adhering,5,5,0,0
non-binding,1,1,0,0
non-farm,16,16,0,0
none,1,1,0,0
nor,3,3,0,0
norms,2,0,2,0
north,17,17,0,0
northern,1,1,0,0
not,122,84,14,24
note,11,11,0,0
nothing,1,1,0,0
notice,47,44,0,3
notify,2,2,0,0
novel,2,2,0,0
november,1,1,0,0
number,1,1,0,0
obligations,1,1,0,0
observe,1,0,0,1
obstructs,1,1,0,0
obtaining,1,1,0,0
occupation,1,1,0,0
occupy,4,0,0,4
of,758,600,76,82
offence,21,4,3,14
offences,5,2,0,3
office,14,5,0,9
officer,56,55,0,1
officers,4,4,0,0
offices,3,1,0,2
official,17,17,0,0
okanagan,6,6,0,0
omission,1,1,0,0
on,118,78,11,29
once,1,0,1,0
one,23,17,2,4
oneself,1,0,0,1
only,11,11,0,0
onto,1,1,0,0
open,2,2,0,0
operation,3,3,0,0
or,485,375,35,75
order,93,82,0,11
orders,11,9,0,2
ordinary,1,1,0,0
organization,15,1,14,0
organizations,12,0,12,0
organized,1,1,0,0
original,2,2,0,0
other,69,47,4,18
otherwise,8,8,0,0
out,25,14,4,7
outcome,1,1,0,0
outside,4,0,1,3
over,7,7,0,0
own,7,7,0,0
owner,19,19,0,0
paid,5,5,0,0
panel,21,21,0,0
panels,6,6,0,0
paper,3,3,0,0
paragraph,9,7,1,1
paragraphs,1,0,1,0
parcel,22,7,0,15
part,40,20,17,3
partially,3,3,0,0
participate,1,0,1,0
participation,1,0,1,0
particular,1,1,0,0
parties,1,1,0,0
party,3,3,0,0
pass,1,1,0,0
patient,6,0,0,6
pay,7,3,4,0
payable,3,3,0,0
paying,2,1,1,0
payment,2,2,0,0
peace,3,1,0,2
penalties,9,4,5,0
penalty,12,10,1,1
pending,2,2,0,0
people,2,0,0,2
peoples,7,0,7,0
per,1,1,0,0
performing,2,2,0,0
period,8,4,3,1
permanent,1,0,1,0
permission,22,22,0,0
permit,9,9,0,0
permitted,20,20,0,0
permitting,1,1,0,0
person,108,66,9,33
personally,1,0,0,1
persons,18,4,12,2
persuade,1,0,0,1
persuading,1,0,0,1
pertaining,1,1,0,0
photograph,1,0,0,1
physical,1,0,1,0
physically,1,0,0,1
physicians,1,0,0,1
place,7,4,0,3
placement,6,6,0,0
places,1,1,0,0
plan,53,17,13,23
planning,1,1,0,0
plans,3,1,1,1
plants,1,1,0,0
pocket,1,0,1,0
pole,1,0,0,1
police,1,0,0,1
policies,3,2,1,0
portion,2,2,0,0
possible,1,0,1,0
potential,2,2,0,0
powell,2,2,0,0
power,23,20,0,3
powers,24,24,0,0
practicable,1,1,0,0
practice,1,1,0,0
practices,2,1,1,0
pre-existing,6,6,0,0
pre-fabricated,1,1,0,0
preamble,1,0,0,1
pregnancy,1,0,0,1
prepare,3,2,1,0
prepared,2,1,0,1
prescribe,1,1,0,0
prescribed,28,22,4,2
prescribing,20,13,7,0
present,3,2,0,1
preservation,3,3,0,0
preserve,2,2,0,0
prevent,2,0,2,0
prevention,1,0,1,0
previous,1,1,0,0
primary,2,1,1,0
principal,6,6,0,0
principle,7,7,0,0
principles,4,0,4,0
printer,6,2,2,2
priority,3,3,0,0
privacy,1,0,0,1
private,4,0,0,4
privative,1,1,0,0
probable,2,1,0,1
probation,9,0,0,9
procedure,5,5,0,0
procedures,2,2,0,0
proceed,6,6,0,0
proceeding,7,7,0,0
proceedings,3,3,0,0
process,6,4,2,0
procurement,1,0,1,0
produce,2,2,0,0
produced,1,0,0,1
prohibit,1,1,0,0
prohibited,2,2,0,0
prohibiting,1,1,0,0
prohibitions,1,1,0,0
prohibits,2,2,0,0
promote,4,0,4,0
proof,2,2,0,0
property,6,2,0,4
proposal,1,1,0,0
proposed,25,11,14,0
prosecution,1,0,0,1
prospect,1,1,0,0
protecting,1,1,0,0
protection,3,3,0,0
protest,2,0,0,2
provide,9,4,1,4
provided,9,6,0,3
provider,11,0,0,11
providers,4,0,0,4
provides,11,5,0,6
providing,4,2,0,2
province,12,11,0,1
provincial,31,9,19,3
provision,7,2,0,5
provisions,6,3,3,0
public,40,34,6,0
publication,4,1,3,0
publish,4,1,3,0
published,2,0,2,0
purchaser,1,1,0,0
purpose,23,18,0,5
purposes,53,43,6,4
put,1,1,0,0
queen,1,1,0,0
question,1,1,0,0
questions,3,3,0,0
